Country,Deaths,Deaths /1M pop,New Deaths,Tests,EstimatedCases,ConfirmedCases,Confirmed CaseFatality Rate,Confirmed Cases /1M pop,Seasonal Flu Deaths1(CDC/WHO 2017)
,248096.0,,,,,3562324.0,,
United States of America,68568.0,209.6,1124.0,7188538.0,,1187288.0,0.057800000000000004,3629.0,40905.0
Italy,28884.0,478.0,174.0,2153772.0,,210717.0,0.1371,3486.9,10058.0
United Kingdom,28446.0,427.8,315.0,1206405.0,,186599.0,0.1524,2806.5,13879.0
Spain,25264.0,540.7,164.0,1932455.0,,247122.0,0.10220000000000001,5289.0,8091.0
France,24895.0,371.6,135.0,1100228.0,,168693.0,0.1476,2518.3,9199.0
Belgium,7844.0,686.7,79.0,423971.0,,49906.0,0.1572,4369.3,2662.0
Brazil,7025.0,33.5,275.0,339552.0,,101147.0,0.0695,482.9,16910.0
Germany,6866.0,82.8,54.0,2547052.0,,165664.0,0.0414,1997.7,16876.0
Iran,6203.0,75.8,47.0,496273.0,,97424.0,0.0637,1191.0,3156.0
Netherlands,5056.0,293.4,69.0,225899.0,,40571.0,0.1246,2354.5,2312.0
China,4633.0,3.3,,,,82877.0,0.0559,59.5,91814.0
Canada,3682.0,99.4,116.0,893490.0,,59474.0,0.061900000000000004,1604.9,4569.0
Turkey,3397.0,41.3,61.0,1135367.0,,126045.0,0.027000000000000003,1531.2,5613.0
Sweden,2679.0,263.1,10.0,119500.0,,22317.0,0.12,2191.6,1541.0
Mexico,2061.0,16.3,89.0,93791.0,,22088.0,0.0933,175.0,6075.0
Switzerland,1762.0,206.9,,280220.0,,29905.0,0.058899999999999994,3511.4,1342.0
Ecuador,1564.0,91.5,193.0,78659.0,,29538.0,0.0529,1729.0,1444.0
India,1391.0,1.0,68.0,1046450.0,,42505.0,0.0327,31.4,362108.0
Ireland,1303.0,268.5,17.0,169377.0,,21506.0,0.060599999999999994,4431.0,510
Peru,1286.0,40.2,86.0,375096.0,,45928.0,0.027999999999999997,1435.7,9212.0
Russia,1280.0,8.9,58.0,4100000.0,,134687.0,0.0095,932.2,18654.0
Portugal,1043.0,101.4,20.0,426836.0,,25282.0,0.041299999999999996,2458.9,2020.0
Indonesia,845,3.2,14.0,112965.0,,11192.0,0.0755,41.8,59453.0
Romania,790,40.6,19.0,195508.0,,13163.0,0.06,675.9,3076.0
Poland,678,17.9,14.0,375948.0,,13693.0,0.0495,360.5,4119.0
Philippines,607,5.7,4.0,120736.0,,9223.0,0.0658,86.5,18065.0
Austria,598,67.6,2.0,274355.0,,15597.0,0.0383,1763.0,624
Denmark,484,83.5,9.0,233799.0,,9523.0,0.0508,1642.6,922
Japan,474,3.7,,181527.0,,14571.0,0.0325,115.2,38951.0
Algeria,463,11.0,4.0,6500.0,,4474.0,0.1035,105.9,9967.0
Pakistan,457,2.2,20.0,203025.0,,20084.0,0.022799999999999997,94.6,42650.0
Egypt,429,4.4,14.0,90000.0,,6465.0,0.0664,65.7,22843.0
Hungary,340,34.8,5.0,82010.0,,2998.0,0.1134,306.9,750
Colombia,340,6.8,16.0,114602.0,,7668.0,0.0443,154.4,2527.0
Dominican Republic,333,31.3,7.0,30102.0,,7954.0,0.04190000000000001,748.5,731
Ukraine,288,6.5,9.0,129723.0,,11913.0,0.0242,267.0,1622.0
Chile,260,13.9,13.0,206218.0,,19663.0,0.0132,1049.9,2235.0
South Korea,250,4.8,,630973.0,,10793.0,0.0232,208.4,7146.0
Czechia,248,23.3,3.0,257678.0,,7781.0,0.0319,732.3,1505.0
Argentina,241,5.4,4.0,65813.0,,4681.0,0.051500000000000004,105.2,7156.0
Israel,232,26.1,3.0,397046.0,,16208.0,0.0143,1824.4,1052.0
Finland,230,41.7,10.0,102300.0,,5254.0,0.0438,952.1,239
Norway,211,39.7,,172586.0,,7847.0,0.0269,1476.6,852
Panama,197,47.2,5.0,33354.0,,7090.0,0.0278,1697.4,275
Serbia,193,27.6,4.0,101911.0,,9464.0,0.0204,1355.5,874
Saudi Arabia,184,5.5,8.0,352555.0,,27011.0,0.0068000000000000005,801.5,1974.0
Bangladesh,177,1.1,2.0,81434.0,,9455.0,0.0187,58.6,36590.0
Morocco,174,4.8,1.0,42112.0,,4903.0,0.0355,136.1,8641.0
Greece,144,13.4,1.0,79332.0,,2626.0,0.0548,244.8,2277.0
South Africa,131,2.3,8.0,245747.0,,6783.0,0.019299999999999998,117.4,8409.0
UAE,126,13.1,7.0,1200000.0,,14163.0,0.0089,1470.6,412
